역도	weightlifting	무거운 역기를 들어 올려 그 중량을 겨루는 경기. 체급 경기이며, 용상(聳上), 인상(引上)의 두 종목이 있다.	ㅇ
맡다	 (냄새를) smell, sniff; (동물이) scent 	코로 냄새를 느끼다. 	ㅁ
역도장	weight lifting room	역도 경기를 하는 곳. 	ㅇ
비릿하다	(be) somewhat fishy, smell a little bloody	냄새나 맛이 조금 비린 듯하다. 	ㅂ
쇠	iron (기호 Fe)	‘철6’(鐵)을 일상적으로 이르는 말. 	ㅅ
요상하다	bizarre, strange, odd, weird, peculiar; (정상이 아니다) abnormal; (유별나다) unusual, uncommon	지금까지의 경험이나 지식과는 달리 별나거나 색다르다. 	ㅇ
용상	clean and jerk 	역도 경기 종목의 하나. 바벨을 두 손으로 잡아 한 동작으로 일단 가슴 위까지 올려서 한 번 받쳐 든 다음, 허리와 다리의 반동을 이용하여 다시 머리 위로 추어올린다. 	ㅇ
차	(번, 차례)	‘번’, ‘차례’의 뜻을 나타내는 말. 	ㅊ
시기	(기회) opportunity, chance; (때) time, moment 	적당한 때나 기회. 	ㅅ
성장	growth, development, grow (up)	사람이나 동식물 따위가 자라서 점점 커짐. 	ㅅ
수천	thousands (of)	천의 여러 배가 되는 수. 또는 그런 수의. 	ㅅ
내던지다	throw; (힘껏) fling, hurl	아무렇게나 힘차게 던지다. 	ㄴ
수백	hundreds (of)	백의 여러 배가 되는 수. 또는 그런 수의. 	ㅅ
굳은살	callus	잦은 마찰로 손바닥이나 발바닥에 생긴 두껍고 단단한 살. 	ᄀ
굳다	(무른 물질이) harden, solidify; (액체·접착제 등이) set; (피·비계 등이) congeal	무른 물질이 단단하게 되다. 	ᄀ
도려내다	cut (sth) out, scrape (sth) out, gouge	빙 돌려서 베거나 파내다. 	ㄷ
조	(그룹) group, team 	일정한 목적을 위하여 조직된, 적은 사람들의 집단. 	ㅈ
예선	the preliminaries, preliminary round, heat; (축구 등의) qualifying round	본선에 나갈 선수나 팀을 뽑음. 	ㅇ
펼쳐지다	(event) occurs	보고 듣거나 감상할 수 있도록 사람들 앞에 주의를 끌 만한 상태로 나타내어지다. 	ㅍ
샛별	rising star	장래에 큰 발전을 이룩할 만한 사람을 비유적으로 이르는 말. 	ㅅ
실격	disqualification, be disqualified (from)	격식에 맞지 아니함. 	ㅅ
보유	[명사] (formal) possession, (formal) retention, [동사] (formal) possess, hold, have, own	가지고 있거나 간직하고 있음. 	ㅂ
보강	[명사] reinforcement, [동사] reinforce, strengthen 	보태거나 채워서 본디보다 더 튼튼하게 함. 	ㅂ
훈련	[명사] training, drill, discipline, exercise, [동사] train, drill, discipline, exercise	기본자세나 동작 따위를 되풀이하여 익힘. 	ㅎ
전임	full-time service[employment], exclusive duty, sole charge, ―하다 be in sole charge, be regular 	이전에 그 임무를 맡음. 또는 그런 사람이나 그 임무. 	ㅈ
당부	[명사] request, (formal) entreaty, [동사] request, ask (sb to do), (formal) entreat	말로 단단히 부탁함. 또는 그런 부탁. 	ㄷ
타고나다	be born (with), be gifted (with), be endowed (with), be inborn	어떤 성품이나 능력, 운명 따위를 선천적으로 가지고 태어나다. 	ㅌ
해산	(모임의) [동사] disperse, break up	모였던 사람이 흩어짐. 또는 흩어지게 함. ‘흩어짐’으로 순화. 	ㅎ
학식	University Cafeteria 	학생들이 이용할 수 있게 만든 식당. 또는 그 식당에서 파는 음식. 	ㅎ
콩자반	beans cooked in soy sauce	콩을 볶거나 삶아서 기름, 깨, 물엿 따위와 함께 간장에 넣고 조린 반찬. 	ㅋ
간만	it's been a long time	어떤 일이 있은 때로부터 긴 시간이 지난 뒤. '	ᄀ
강당	(lecture) hall, assembly hall, (Am) auditorium (auditoriums, auditoria)	강연이나 강의, 의식 따위를 할 때에 쓰는 건물이나 큰 방. 	ᄀ
투포환	shot put	포환던지기(지름 2). 	ㅌ
조정	(스포츠) rowing 	정해진 거리에서 보트를 저어 스피드를 겨루는 경기. 혼자서 젓는 싱글 스컬에서 8명이 젓는 에이트까지 9종목이 있는데, 올림픽에서 남자는 2,000미터, 여자는 1,000미터 코스에서 실시한다 	ㅈ
넓적다리	thigh	다리에서 무릎 관절 위의 부분. 	ㄴ
체전	(national) athletic meeting	[같은 말] 전국 체육 대회 	ㅊ
배정	[동사]  (업무에) assign; (시간·돈 등을) allot, allocate	몫을 나누어 정함. 	ㅂ
흥미롭다	interesting, exciting, attractive, amusing	흥을 느끼는 재미가 있다. 	ㅎ
부정	[명사] corruption; (불법행위) (formal) illegality; (부정직한 행위) dishonesty [형용사]; (불법인) illegal, unlawful; (부정직한) dishonest 	올바르지 아니하거나 옳지 못함. 	ㅂ
얼추	(대충) roughly, approximately	어지간한 정도로 대충. 	ㅇ
자극	[동사] stimulate, (감각기관의) [명사] stimulation, stimulus (stimuli), irritation, irritate	어떠한 작용을 주어 감각이나 마음에 반응이 일어나게 함. 또는 그런 작용을 하는 사물. 	ㅈ
일종	(한 종류) kind (of), sort (of), type (of)	한 종류. 또는 한 가지. 	ㅇ
듣보잡	Someone who has never been heard of nor been seen. 	‘듣지도 보지도 못한 잡놈’이라는 뜻으로, 잘 알려지지 않은 사람을 낮잡아 이르는 말. 	ㄷ
위주	putting ((something)) first (in importance), giving the first consideration[primacy](to)	으뜸으로 삼음. 	ㅇ
깔다	(자리·담요·아스팔트 등을) spread (out), lay; (아스팔트 등을) pave	바닥에 펴 놓다. 	ㄲ
나르다	carry; (교통수단을 이용해서) transport	물건을 한 곳에서 다른 곳으로 옮기다. 	ㄴ
분지르다	break	[같은 말] 부러뜨리다(단단한 물체를 꺾어서 부러지게 하다). 	ㅂ
체급	weight division, weight class	권투ㆍ레슬링ㆍ유도ㆍ역도 따위에서, 경기자의 체중에 따라서 매겨진 등급. 	ㅊ
쌤통	Serves you right! 	남이 낭패 본 것을 고소해하는 뜻으로 이르는 말. 	ㅆ
